question,answer
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","מקובל מאוד לאנשים יש בעיות מרובות שהם רוצים (וצריכים) להתייחס לייעוץ.  היו לי לקוחות לשאול את אותה שאלה ובאמצעות יותר חקר, לעיתים קרובות יש פחד בסיסי שהם ""לא יכולים להיעזר"" או שהם ""יהיו יותר מדי עבור המטפל שלהם."" אני לא יודע אם כל הטבעות האלה נכונות עבורך. עם זאת, לרוב האנשים יש יותר מבעיה אחת בחייהם ולעתים קרובות יותר מאשר לא, לאנשים ישנם גורמי לחץ משמעותיים רבים בחייהם.  בואו נודה בזה, החיים יכולים להיות מסובכים! המטפלים מוכנים לחלוטין ומצוידים לטפל בכל הנושאים קטנים או גדולים שלקוח מציג בפגישה. מרבית המטפלים בשני המפגשים הראשונים יעזרו לכם לתעדף את הנושאים העומדים בפניכם, כך שתתחילו להתייחס לנושאים הגורמים לכם ביותר מצוקה.  לעולם אינך יכול לקבל יותר מדי סוגיות לטפל בייעוץ.  ניתן לעבוד בהצלחה על כל הנושאים שאתה מזכיר לעיל."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","מעולם לא שמעתי על מישהו שיש לו ""יותר מדי בעיות"" כדי שהטיפול יהיה יעיל. מטפל מוסמך יסייע לך בזיהוי הגורמים לשורש לבעיות שלך ולטפל קודם. אם מטפלים בבעיות הבסיסיות, הסימפטומים השונים שלך צריכים להשתפר. לדוגמה, היסטוריה של טראומה מינית עלולה לגרום להפרעות שינה, דיכאון, חרדה וערך עצמי נמוך. הייתי מתחיל להתייחס לטראומה הבסיסית באמצעות טיפול ב- EMDR. EMDR מאפשר ללקוח לעבד טראומה בלתי פתורה ולהתייחס לאמונות ליבה שליליות המתפתחות בתגובה לטראומה. על ידי התייחסות לאמונות שליליות אלה לגבי עצמנו, אנו יכולים לשפר את ההערכה העצמית שלנו ואת רגשות הערך העצמי שלנו."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?",ממש לא.  אני ממליץ בחום לעבוד על נושא/צורך אחד בכל פעם.  בטיפול תקבע יעדים ויעדים חכמים שיעזרו לך להגיע ליעדים שלך.  אני רואה אותך כניצול ולא כקורבן.  איחולים לך.
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","תן לי להתחיל לומר שלעולם אין יותר מדי חששות שתוכל להכניס לייעוץ. למעשה, לרוב האנשים שבאים לראות אותי לייעוץ יש יותר מנושא אחד שהם היו רוצים לעבוד עליו בפסיכותרפיה ורוב הפעמים כל אלה קשורים זה לזה. בייעוץ אנו עובדים יחד, בשיתוף פעולה, כדי להבין אילו סוגיות תרצו לטפל תחילה ואז יחד אנו מפתחים תוכנית טיפול אינדיבידואלית. בעיקרון, זה כמו מפת דרכים של לאן אתה רוצה ללכת, איך אתה הולך להגיע לשם, להסתכל על עצירות עצירות, כמה מסלולים נופים אחרים שאולי לא כל כך נופים, עם זאת. כמובן שתוכניות אלה יכולות להשתנות גם בגלל פנימיות (מה שיש לנו שליטה עליו כמו המחשבות, הרגשות וההתנהגויות שלנו) או סיבות חיצוניות (הדברים שאינם בשליטתנו). הייתי ממליץ לך לעשות את הצעד הבא ולהושיט יד למקצוען שאתה יכול לסמוך עליו ולבנות איתו קשר על ידי שיחות משותפות בכל הדאגות שיש לך על ידי בחינת מה שעבד עד כמה שלמדת להתמודד עם כמה מהנושאים שלך כמו נדודי שינה, דיכאון וחרדה, כמו גם להיות ניצול סרטן השד. ואז כדי לעזור לך על ידי פיתוח אסטרטגיות התמודדות חדשות. פסיכותרפיה יכולה להיות כלי כל כך חזק שיעזור לך להגיע למקום בו אתה רוצה להיות. אני יודע שאתה יכול לעשות את זה ותראה ממקור ראשון כיצד פסיכותרפיה תעזור לך לעבור את הנקודות הללו בחייך בהן אתה מרגיש תקוע. אני אוהב לצטט את נייקי במקום בו המוטו שלהם הוא, ""פשוט תעשה את זה."" אתה יכול לעשות את זה."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","אני רק רוצה להכיר בך על האומץ לעשות את הצעד כדי לקבל תמיכה. זה יכול להיות מדהים שיש כל כך הרבה דברים שקורים, וייתכן שיהיה קשה להבין מאיפה להתחיל. אני באמת מאמין שאחד היתרונות הגדולים ביותר לעבודה עם מטפל הוא שמטפל יכול לעזור לך לתעדף ולעבוד עם הנושאים שצריך לטפל בו בראש ובראשונה. מטפל יעזור לך עם זרימת ההתמודדות עם היבטים שונים שעולים. סוגיות מסוימות עשויות אפילו להיות קשורות זו לזו. לדוגמאות, לקוחות מסוימים עם דיכאון עשויים לחוש חרדה גם מהדיכאון שלהם. כמו כן, סמוך ובטוח, לקוחות רבים עוברים לטיפול בנושאים מרובים. אנחנו יצורים מורכבים. אני ממליץ לך לפנות למטפל ולדבר על הדאגה הזו. אתה עשוי לגלות שאפילו בפגישה הראשונה תרגיש מלא תקווה שתוכל ליצור תוכנית עם מטפל שתטפל בבעיות שלך. אני לא מאמין שיש לך יותר מדי סוגיות, אני חושב שהתחלה במוקדם ולא במאוחר תביא אותך לדרך לריפוי. בהצלחה. אני שורש בשבילך!"
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","זו לא ממש שאלה אם יש לך יותר מדי סוגיות לייעוץ, אלא יותר על מה היית רוצה לעבוד בייעוץ? אתה שולט בכיוון הפגישות ותלוי איך אתה מרגיש ביום מסוים יכול לחזות לאיזה כיוון לוקח הפגישה. אם אתה רוצה לעבוד על כל הנושאים שרשמת, זה פשוט ייקח קצת מסירות מצידך כדי לראות את הייעוץ מספיק זמן כדי למצוא החלטה לכל אחד מהנושאים המשביעים רצון עבורך. אתה עובד בקצב שלך בייעוץ ונראה שאתה עשוי להיות מוצף ברשימה ההולכת וגדלה. אבל אתה יכול פשוט לחפש שיפור עצמי ולהפוך את עצמך לטובה, וזה דבר נהדר. נראה כאילו יתכן שתזדקק לאיזושהי רזולוציה למה שקרה בעבר ולעבוד דרך הטראומה שחווית. זה עשוי להיות בסיס צרכי הייעוץ שלך בו הערכה עצמית ודיכאון/חרדה עלולים ליפול גם מתחתיו. אם אתה רוצה להתחיל לייעץ אל תתן למה שאתה צריך לעבוד על להציף אותך. מצא את היועץ שמתאים לך ביותר איתך ויחד שניכם יכולים להתמודד עם כל בעיה."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","אין דבר כזה יותר מדי. התחל איפה שאתה נמצא היום ונע קדימה או לאחור כדי להבין את השאר. אתה לא צריך להיות משהו פחות או יותר ממה שאתה כרגע. זה אולי מסע ארוך יותר, אבל זה אחד שיכול להוביל באופן אידיאלי לריפוי. אני מקווה שזה יקרה לך."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","התשובה הישירה ביותר היא לא. הייתי מסתכן לנחש שכמה מהדברים שאתה מרגיש (תסמינים) קשורים. הייתי ממליץ על יועץ טראומה. יש לך כמה נקודות חוזק (משאבים) שאתה מסוגל למשוך מהן והייתי ממליץ לך להתמקד בהן כשאתה מתמודד עם הנושאים שהנחת על המבער האחורי כל כך הרבה זמן. לפעמים אנשים חוששים להתייחס לדברים מכיוון שהם מרגישים או מאמינים שהם לא יוכלו להתמודד עם זה. השווה את זה לטורנדו. הסערה חלפה, אבל אתה עדיין מסתתר מפחד מהעקבות (הבלגן שנותר מאחור). מטפל טוב הוא כמו מארגן אישי שיעזור לך."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","לעולם לא מאוחר לקבל עזרה ולהתחיל לבצע שינויים משמעותיים ושיפורים בחייך.  הזמן הנכון הוא כאשר אתה מרגיש מוכן ופתוח לשינוי.  לפעמים כאשר יש לנו היסטוריה של טראומה, כמו התעללות מינית, ההשפעה של אותה טראומה יכולה להשפיע על תחומים רבים בחיינו כמבוגרים.  עבודה עם מטפל המתמחה בטראומה היא דרך נהדרת להתחיל לפתח מיומנויות לניהול חיי ימינו, ללמוד לווסת את הרגשות ואת מערכת העצבים שלך כשאתה מופעל, ואז בסביבה בטוחה יש הזדמנות לעבד טראומות בעבר כך שאתה יכול לחיות את חייך הנוכחיים בקלות רבה יותר ובשמחה.  אנשים יכולים להתאושש מההשפעות של טראומה בכל שלב בחייהם.  זה אף פעם לא מאוחר מדי ואתה יכול להרגיש טוב יותר"
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","עברת כל כך הרבה וזה נשמע שיש לך הרבה דברים שעמדו במהלך השנים. ללא קשר למאבקים שעברתם, אין לכם יותר מדי סוגיות לייעוץ. פעמים רבות כשמישהו מתחיל את המסע הייעוץ והריפוי שלו, ישנם דברים רבים שהם היו רוצים להתייחס אליהם ולעבוד עליהם. אם תחליט להתחיל לייעץ, אתה והמטפל שלך יכולים להחליט בשיתוף פעולה על מה תרצה לעבד ולעבוד קודם. הקפד לבטא ליועץ שלך אם אחת מההתנסויות לעיל שעברת עליה גורמת מצוקה רבה, מכיוון שהדברים הראשונים שמוטלים הם אלה שמשפיעים כעת על חייך או שאתה רגשית. פעמים רבות בהן אנו חווים מצבים שליליים בחיינו, אך אינם מתייחסים אליהם, הם מתבקשים בתוכנו ויכולים להתבטא בדרכים אחרות, כמו דיכאון או אפילו תסמינים גופניים כמו IBS או כאבי צוואר.  ייעוץ יכול להעניק לשחרור רגשות ומצבים בבקבוקים. בהתחשב במצב ששיתפת, לא רק שאני לא חושב שיש לך יותר מדי סוגיות לייעוץ, אלא מאמין שתהיה מועמד נהדר ותוכל להשיג מזה הרבה."
